scenario,polarity-tense,2.5%,25%,50%,75%,97.5%,mean,sd
electrician:disprove,positive-future,-0.194382717193737,-0.006423680170135948,0.09594675575390188,0.21449994872676298,0.48263111544114823,0.11013575123079518,0.17098827824352839
electrician:disprove,negative-past,-0.2572031028654691,0.10211909954848897,0.2987611631906881,0.49421213277949894,0.885925085434615,0.30152992410758106,0.2919479831072021
electrician:disprove,negative-future,0.04860070304713926,0.404654270153808,0.5957532351383239,0.785297111847595,1.160745590723786,0.5969946425661634,0.2847692687387337
engineer:persuade,positive-past,0.262272970611347,0.48803418137927396,0.609802484933609,0.7321892652746558,0.9713440101134491,0.6115131978601921,0.18173865843894874
engineer:persuade,positive-future,-0.3754759375402492,-0.12589168350825913,-0.018215032582696855,0.08039952245884308,0.2873127206155741,-0.025747582710878257,0.16524981964109917
engineer:persuade,negative-past,-0.728892585854287,-0.33714548985895393,-0.13873263952192694,0.05398139599352303,0.4153374315533819,-0.1428369132786765,0.2916240696458096
engineer:persuade,negative-future,-0.47735219963194697,-0.10404736876892606,0.08465167463630208,0.27408687104979895,0.6383878129602444,0.08498241748635739,0.2829090433271124
executive:know,positive-past,0.22245127568588,0.47068242601199894,0.599548904161583,0.728231943872732,0.981975891285913,0.6000100403630537,0.19365729246512967
executive:know,positive-future,-0.41466331646544796,-0.1684517284041981,-0.06357786530683807,0.03665169635409915,0.241215887142324,-0.0697884389203845,0.1633937632437916
executive:know,negative-past,-0.1721310052701,0.219280744153234,0.41697221674422,0.6152558429024191,0.993061607267664,0.4155595828705071,0.29737364896230406
executive:know,negative-future,-0.010778186384078126,0.34719519437853597,0.535834212974902,0.7257790386567811,1.083635407516807,0.5356225209319565,0.27984084195902303
farmer:persuade,positive-past,0.24204150537894398,0.48691966958972,0.619548619469558,0.7486493650227329,1.00637158639669,0.6192716979214202,0.1949993213987523
farmer:persuade,positive-future,-0.23722649959710296,-0.038639213958094,0.06037630800768912,0.16772846861262708,0.41347442128481,0.06769572745503648,0.16217415191192225
farmer:persuade,negative-past,-0.42940728711825793,-0.032245703227265,0.16288963578602,0.355113563540104,0.732343125988412,0.15964126011433089,0.29309638831504464
farmer:persuade,negative-future,-0.01721978056567608,0.34228850022534907,0.5326775157989936,0.7212294303078243,1.091082257151042,0.5334953869049606,0.28184568332459814
filmmaker:lie,positive-past,-0.48993727615596705,-0.245952847080651,-0.11781028901495699,0.0137728911984333,0.253880293355689,-0.11695397064417248,0.19065659158991669
filmmaker:lie,positive-future,-0.466756439074222,-0.20349144722982462,-0.09548913923088381,-0.0016469418330798957,0.17423656126967707,-0.11009589477495484,0.16064358527591074
filmmaker:lie,negative-past,-0.5865240549248006,-0.20361791308668728,-0.007513212398470498,0.191548074094262,0.5904019886975699,-0.0055084349160797385,0.29811551012799875
filmmaker:lie,negative-future,-0.7693264668209691,-0.39614742915772816,-0.20282197584189401,-0.01251397920490599,0.36455027438286197,-0.20362119176105034,0.2877017075353584
firefighter:boast,positive-past,0.285297984438221,0.5234993594635,0.649574779328564,0.7763113998631859,1.0266487138994398,0.6510569562712074,0.18905259743782868
firefighter:boast,positive-future,-0.15114185408731606,0.0434853346591072,0.14660820836770405,0.2596170431792891,0.5155437962700578,0.15657045168656625,0.1676478681461238
firefighter:boast,negative-past,-1.172945621614987,-0.7914743847748729,-0.5923629553655942,-0.3963307179338611,-0.022664901084436972,-0.5944604679420791,0.2935748350258776
firefighter:boast,negative-future,-0.8220943812833239,-0.453980541861023,-0.26553341022225596,-0.08219260299394715,0.2847288842798301,-0.26760827014680993,0.281443785968879
fisherman:love,positive-past,-0.562337287373156,-0.316979923748531,-0.189792798194711,-0.0623551596080815,0.18604987475873197,-0.1897067826163768,0.1887587185967381
fisherman:love,positive-future,-0.2639695697359794,-0.06870488997337804,0.0232188263565933,0.12358484179445302,0.363887684296446,0.03131327336184024,0.1557943343880293
fisherman:love,negative-past,-0.27164762188376557,0.07777881333040598,0.2642358129564247,0.45447035126157287,0.8338724251793651,0.26877498328039795,0.28025018548143393
fisherman:love,negative-future,-0.34184134989385806,0.009913884485477031,0.19912416021756899,0.3852592150620473,0.75921835429967,0.1999317815385353,0.27971177550223686
gambler:like,positive-past,-0.00156509499088578,0.24845448153691602,0.38071495142305606,0.512344743805451,0.766969678840751,0.3800808798559866,0.1958457292091985
gambler:like,positive-future,-0.276702600773705,-0.05351521123135389,0.06135326659248297,0.18641123097106704,0.455372257642921,0.07017569143755453,0.18322611455588442
gambler:like,negative-past,0.09305422956700315,0.4830866926948572,0.688059344250379,0.8903049224155051,1.2939449593683012,0.6873898821980368,0.305470939149454
gambler:like,negative-future,0.6596041698464981,0.9897196330639431,1.172073992079157,1.3607888981073422,1.732666084091893,1.1788745385796608,0.27481741600475074
gardener:remember,positive-past,-0.598084682482792,-0.36441119241798603,-0.244934938272935,-0.124826927897905,0.12042174511222,-0.2442692191340189,0.18139474285582813
gardener:remember,positive-future,-0.45844654850515537,-0.20615948475002388,-0.09665209712267497,-0.0018167793391380138,0.18957606749720382,-0.10804688687620437,0.1619320116902187
gardener:remember,negative-past,-0.5076799974644238,-0.130299235584596,0.06714450436051303,0.26279848924652205,0.650912202829437,0.06747440455916118,0.29596547418819924
gardener:remember,negative-future,-0.810078156402519,-0.42686670036680874,-0.2377950609423347,-0.050840382245726984,0.29087326428724225,-0.24279304838503624,0.28055046728384697
guitarist:worry,positive-past,0.32417043073525803,0.5672881685228001,0.696679620958678,0.825118520516433,1.0756543655703699,0.697237269334056,0.1910428313363583
guitarist:worry,positive-future,-0.25395065547695994,-0.030642701519979054,0.08419519850420387,0.206239957568968,0.4655889877191421,0.09010860141646904,0.18182896612561714
guitarist:worry,negative-past,-0.0386298534875642,0.34160951868224815,0.5431682217081283,0.747389057598255,1.137307716028954,0.5446560034909717,0.3018203614445037
guitarist:worry,negative-future,0.6551906232436493,0.9906139154688531,1.176658884790464,1.3679276826865152,1.7393579096449732,1.1816597124361978,0.2784957486867563
hacker:boast,positive-past,-0.5283143851235109,-0.29951571646689,-0.178613543404765,-0.0581034806868055,0.174958068391059,-0.17841442690306217,0.17959909921359585
hacker:boast,positive-future,-0.385982175944539,-0.13149896515050002,-0.026276218361672987,0.06542130437325822,0.2605319751853401,-0.03711156192206196,0.15996456250375035
hacker:boast,negative-past,-0.7877608829668898,-0.4050602652381758,-0.20689563136589792,-0.0100281301412024,0.37552091518480096,-0.2079241209279048,0.29496663187454064
hacker:boast,negative-future,-0.72085589716407,-0.3594317725580427,-0.17480816361407303,0.009930328994074006,0.3732217896111011,-0.17446665325439675,0.27866453576032724
hiker:remember,positive-past,-0.694076005165579,-0.46578074703933203,-0.345912881260562,-0.22299411707348604,0.0162288689736506,-0.34415499385886406,0.18025790433279276
hiker:remember,positive-future,-0.20424885784649768,-0.023750494190101057,0.06777339268635502,0.17097779682231717,0.41439313987256704,0.07865330828334993,0.15457796354259432
hiker:remember,negative-past,-0.509313708415828,-0.13326114128022,0.05519540726396199,0.24403319466254503,0.6118882818904481,0.05360482388626429,0.28353375800743225
hiker:remember,negative-future,-0.45928121619919604,-0.09914162774749902,0.089716891305963,0.27563732790923207,0.6388139738668009,0.08855471887797567,0.2787910888925436
homeowner:hate,positive-past,-1.4320135949016801,-1.20994998306865,-1.09720150816722,-0.983034638226468,-0.7630675966165529,-1.0970208161696458,0.1687028597258861
homeowner:hate,positive-future,-0.31309919994234314,-0.10665969200327985,-0.002782810504540212,0.10651780852777792,0.34481357958225023,0.0015772544255239934,0.165407762564223
homeowner:hate,negative-past,-0.36217067071780484,0.00252743975943992,0.19296630538388992,0.38698624183249963,0.77135859365974,0.19706693368739983,0.28871776528744725
homeowner:hate,negative-future,-0.643155181288131,-0.294483678737951,-0.11402344764426009,0.0660902719720795,0.4278415228321102,-0.11331644560771616,0.2701318087363543
inspector:convince,positive-past,0.6814262975821259,0.91369374905029,1.03887208780308,1.16615244027732,1.41494983979119,1.0409553658910058,0.18710481149024064
inspector:convince,positive-future,-0.22473921214140002,-0.017296897237132014,0.08921756410745785,0.20343195127286406,0.45673149196394003,0.09639212048290718,0.17193202627152984
inspector:convince,negative-past,-0.40030582665798997,-0.0021431403659147863,0.202874571742508,0.404754041320521,0.7908462026974319,0.20005776599541356,0.30377154067714385
inspector:convince,negative-future,0.17651830864616713,0.5525722374245801,0.749470826827253,0.947375708471437,1.3340351516941569,0.7516669574981552,0.29449854624724764
jeweler:remember,positive-past,-0.22528407159364,0.0236544232710624,0.152357822239286,0.283148004024104,0.538439377412988,0.15356207502501915,0.19360055894582912
jeweler:remember,positive-future,-0.4958083056562069,-0.2198143891313873,-0.1015057936819188,-0.0037589575780989926,0.175137145814874,-0.11905277929127428,0.16968122448972384
jeweler:remember,negative-past,-0.6330221347181939,-0.2507102497220419,-0.052643714362705984,0.14036709799105523,0.5142510183625884,-0.055901956000407725,0.2929927745621209
jeweler:remember,negative-future,-0.70279624200584,-0.32538369310154314,-0.13742012761074196,0.053065767107662976,0.40531769986608623,-0.13923825902462275,0.2821391145705588
journalist:worry,positive-past,-0.8251266959059119,-0.591550344278525,-0.46775753569190004,-0.34484664963096,-0.11601792255827499,-0.4686244695331762,0.18186568041084877
journalist:worry,positive-future,-0.26036127583996005,-0.021700334353905948,0.09537064532128398,0.21213842221583706,0.4543276345680009,0.09577496727510622,0.18078044590682263
journalist:worry,negative-past,-1.815962300976863,-1.407797819862288,-1.205495928329253,-1.00603894931547,-0.620404817144989,-1.2088896294969544,0.30314394268457506
journalist:worry,negative-future,-1.816924570685063,-1.4415898314398312,-1.250135035940029,-1.06445039300113,-0.711736257339935,-1.2548290106914002,0.28166225319231003
landlord:hope,positive-past,-0.891530973918013,-0.653084225965187,-0.5275708941355329,-0.403652353003341,-0.155452441451762,-0.5276093991774411,0.1866528258322666
landlord:hope,positive-future,-0.30131290002351396,-0.08499736537680302,0.01152853076170901,0.10662549423095402,0.3248403798106042,0.011512419747764771,0.15478674266329712
landlord:hope,negative-past,-0.730976152135784,-0.34168182332828084,-0.13885497377742806,0.06008190789879497,0.4474887547278823,-0.14139180005347668,0.3005043706073599
landlord:hope,negative-future,-0.785606662184493,-0.41579949870130306,-0.226671810939441,-0.03971352322464505,0.3278631840685411,-0.2277931627742738,0.28335483727524413
lawyer:disprove,positive-past,-0.347031788417328,-0.103846475813819,0.0217070585019939,0.148398968397274,0.3974563439876379,0.02209907243507491,0.1880967931011493
lawyer:disprove,positive-future,-0.4797901648184409,-0.23122801043059713,-0.12082892182145949,-0.02773605541865387,0.1571824029332052,-0.13390156201243048,0.16079409466703184
lawyer:disprove,negative-past,-0.26321722382840895,0.08666335817087506,0.271757945903668,0.463334926638156,0.8440961669084559,0.27777729819626573,0.2817448087129699
lawyer:disprove,negative-future,-0.574600440380682,-0.19924026911900894,-0.00510525473471877,0.1825077997382191,0.5606589448479824,-0.007130989515241172,0.28779093781237963
liquorstoreowner:tell,positive-past,1.1710925028386399,1.3921964499819601,1.51238774065718,1.63404817047335,1.8737577442833102,1.51442731974519,0.17974876643465496
liquorstoreowner:tell,positive-future,-0.30549727377155,-0.054644887784470075,0.0697969451679199,0.19978844055974987,0.4639483546640497,0.07400823576754711,0.1939495726364195
