"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","scenario"
"B_s[4,16]",1.62809582483617,0.00203939527695146,0.35073568858004,0.947999924444935,1.39268219303676,1.62463116173232,1.86380172727622,2.31822375567129,29577.2028484299,1.0000309302728,"clerk-apologize"
"B_s[4,17]",2.18682779951709,0.00208807731909812,0.356687334125119,1.48343131120438,1.94676099478726,2.19174554727709,2.42855942746845,2.88320250592847,29179.7941452592,0.999880438381867,"climber-like"
"B_s[4,18]",0.571084199081087,0.00189738555037541,0.334692897727631,-0.0886269693120287,0.34447678169063,0.57413472633589,0.797533499610248,1.22041024467576,31115.8604794092,0.999915721203595,"coach-congratulate"
"B_s[4,19]",-0.257416663674353,0.00202331712910368,0.333979581190195,-0.89686686187458,-0.485065716535571,-0.260406129801204,-0.0337183206615548,0.408004855143009,27246.5748472306,1.00006401335115,"concierge-convince"
"B_s[4,20]",-1.19283909021684,0.00206326187923823,0.339338644241366,-1.84672022527612,-1.42428605467355,-1.1940286043566,-0.966033826957794,-0.520152713193321,27049.4184408528,0.999896788777835,"conductor-congratulate"
"B_s[4,21]",-0.65813371728539,0.00195873217723,0.320711747252703,-1.28272110059364,-0.874161396132583,-0.662743610503368,-0.44685715304769,-0.0143309234258983,26808.9386053896,0.999981532350368,"congresswoman-regret"
"B_s[4,22]",-0.981298397247512,0.00206031590040807,0.337865893421775,-1.64584267248953,-1.2086661444721,-0.982221108492012,-0.755960520775857,-0.313076761305553,26891.8746391935,0.999938703918557,"contractor-mislead"
"B_s[4,23]",1.18437309843265,0.00203355195079543,0.34858914656478,0.502329278007238,0.951019021818809,1.18504694393709,1.41993467909486,1.87182230058025,29384.4237780979,1.00016961408916,"coroner-persuade"
"B_s[4,24]",-1.38844047116538,0.00189929646942618,0.331818032015487,-2.04916628724363,-1.60747045359072,-1.38740479733765,-1.16201111761434,-0.742718440981731,30522.1023672819,0.999865295999015,"curator-like"
"B_s[4,25]",1.23088042340802,0.00198475058324453,0.342048646475629,0.561237048850522,1.0039370494159,1.23146619336855,1.45574834787151,1.90070140409778,29700.5078875705,0.99988696541288,"cyclist-think"
"B_s[4,26]",-1.20963863895417,0.00194898431400517,0.344932208414085,-1.88777155187891,-1.43917728712846,-1.2087988343273,-0.981381407276644,-0.532776075332374,31322.0955694393,0.999910515378863,"dancer-boast"
"B_s[4,27]",1.36905522365552,0.00193134477527116,0.34337544327395,0.688873993412573,1.13763446399641,1.37253411578208,1.599463866774,2.03141032778116,31609.5889277989,0.999987041163016,"daughter-convince"
"B_s[4,28]",0.290630258145881,0.00206913669720567,0.35051279127983,-0.399405382261853,0.0564545507212748,0.290496714847608,0.526861519534504,0.967930388113571,28696.5294337909,0.999914206322662,"defendant-hope"
"B_s[4,29]",0.844512072135296,0.00198008094238888,0.348223301717683,0.165752429247302,0.616339741302089,0.844654939949124,1.07656329280812,1.53094556238479,30927.8528452042,1.00004954434367,"deliveryman-regret"
"B_s[4,30]",-1.44823861207329,0.00192154341308627,0.340730137302324,-2.11969686691256,-1.67616144928672,-1.44834462815783,-1.21807360608087,-0.776838808027005,31442.7624643685,0.999939128523562,"detective-disprove"
"B_s[4,31]",0.0564611637612697,0.00201102437400069,0.335548065618877,-0.614199680695903,-0.167183978123872,0.0602882751760906,0.284000624414014,0.705109872905033,27840.3576628058,0.999915122753281,"director-congratulate"
"B_s[4,32]",0.460869072692456,0.00219677948443129,0.344713900887688,-0.201406010659299,0.22489029669888,0.456406091797264,0.692324377856512,1.1450347639988,24623.2098295101,1.00002681952182,"dishwasher-complain"
"B_s[4,33]",0.740389365344725,0.00180856029180704,0.331391677021322,0.083870353717956,0.520593221995803,0.742199801284906,0.963325531840986,1.38694039661924,33575.0919625552,0.999960912299811,"diver-fear"
"B_s[4,34]",1.01386970679253,0.00193029959086364,0.344762799441013,0.335911711664266,0.782198443728384,1.01567781514656,1.24665303713999,1.68129302669792,31900.0497023663,1.00009257144063,"doctor-think"
"B_s[4,35]",1.89170770856778,0.00184112559333533,0.328944959783665,1.25162336051185,1.66925068896482,1.88862147093232,2.10986954787358,2.53973671737767,31921.2318422537,0.99994032869961,"driver-regret"
"B_s[4,36]",0.387119735005076,0.00197547007791743,0.332070134887961,-0.267780172735528,0.166912707390372,0.388646716652069,0.61026780335087,1.0322880049324,28256.5233285419,0.999944679699375,"economist-mislead"
"B_s[4,37]",-0.850638265226973,0.00184508506790018,0.334631172737507,-1.49775477031799,-1.07781517999157,-0.853657294448754,-0.629057571133575,-0.184915760647049,32892.7362406557,0.999890107357053,"electrician-disprove"
"B_s[4,38]",-1.54422192151575,0.00190748553024113,0.337856664636547,-2.21761492908889,-1.76756198689231,-1.54257190151395,-1.31815264691612,-0.886624964447977,31372.0195022587,0.999885028662661,"engineer-persuade"
"B_s[4,39]",-1.1404623573269,0.00199579223376684,0.347556363351204,-1.82218440172063,-1.37481195282583,-1.13984056176346,-0.906686888660409,-0.456328152449205,30326.3282924835,1.00008285735187,"executive-know"
"B_s[4,40]",-1.13602088343368,0.00197975027621639,0.338284828926152,-1.81040002511506,-1.35916675291324,-1.13265492840871,-0.910884819139732,-0.474769489343335,29197.402599926,0.999972341595405,"farmer-persuade"
"B_s[4,41]",1.27093981327135,0.00174331855492647,0.318554067071434,0.644053487360562,1.05501433455938,1.27235054065745,1.48549704248605,1.90110742972269,33389.7220085533,1.0000668693139,"filmmaker-lie"
"B_s[4,42]",-0.499861972253086,0.00193163199672405,0.338989945185576,-1.16325014471331,-0.727449647869355,-0.501002143479162,-0.273279913369935,0.172850346071382,30798.1657593384,0.999951360592094,"fire fighter-boast"
"B_s[4,43]",1.37790998328421,0.00187041785139388,0.327008821631545,0.721642375189182,1.1630053217288,1.38114472873797,1.59954900664804,2.01496767963594,30566.2147334727,1.00016184306319,"fisherman-love"
"B_s[4,44]",1.60129939764289,0.00191824638109937,0.32876705071143,0.956714946944429,1.38234402880069,1.60506942706071,1.82610569602432,2.24147795107153,29374.3182843931,0.999883833924643,"gambler-like"
"B_s[4,45]",1.11134825325292,0.00183069298373496,0.332307437995468,0.447234805056609,0.892959863239741,1.11471920653035,1.33488171669501,1.75191879608945,32949.5198370339,1.00000504971949,"gardener-remember"
"B_s[4,46]",-0.717490807544101,0.00193361659340213,0.332348693059164,-1.36261231180842,-0.939855760086078,-0.719021995857787,-0.495451931157202,-0.0645376981824429,29542.4984826539,0.999984951254715,"guitarist-worry"
"B_s[4,47]",0.534063709374936,0.00195153540058376,0.336539736708568,-0.126141027935692,0.30579801725296,0.533438732371738,0.759849787055406,1.19551581113889,29738.5530490198,1.00004722923095,"hacker-boast"
"B_s[4,48]",1.3886000034269,0.00191192768162607,0.342971191647849,0.711100218167174,1.15860974413033,1.39038414997082,1.62117999323395,2.05743572117857,32178.9865714764,0.999899438127292,"hiker-remember"
"B_s[4,49]",1.6856988643645,0.00188876649489613,0.339845456002158,1.02720598549724,1.4555775805607,1.68266196534748,1.9134866367796,2.35653857602146,32374.7478517335,0.999938308315566,"homeowner-hate"
"B_s[4,50]",1.98398454177426,0.00183391779567432,0.329339023378221,1.33995173262555,1.7635683041211,1.98148738273375,2.20489804790626,2.62883936395944,32249.7726303741,1.00001038395283,"inspector-convince"
"B_s[4,51]",-1.22322872796864,0.00195208481583657,0.348284393326566,-1.91150348033251,-1.45755961978729,-1.22213863281952,-0.990684533776907,-0.542237664273049,31832.4936797414,0.999977157876542,"jeweler-remember"
"B_s[4,52]",0.128596429302878,0.00196440829782488,0.336370254671885,-0.531326238461559,-0.0993941380408783,0.13345588222312,0.355206559596178,0.773530655083405,29320.5186411502,0.999911442559298,"journalist-worry"
